237636	10.0
235942	-16.0
54040	3.0
108150	40.0
141470	61.0
257320	-7.0
48510	-26.0
293482	-17.0
14882	-35.0
154126	-42.0
231966	-66.0
201642	28.0
166558	-6.0
119518	10.0
183162	72.0
284256	-5.0
32676	15.0
296296	38.0
73654	2.0
298886	33.0
242074	11.0
161980	-15.0
137102	-61.0
113078	-18.0
81508	5.0
182728	-35.0
239806	-61.0
134918	30.0
222362	-5.0
282716	-3.0
141064	4.0
43946	41.0
111440	-9.0
83440	-41.0
116662	17.0
221004	65.0
143584	4.0
30114	-12.0
99624	-31.0
192192	-37.0
109074	-60.0
151998	20.0
227094	-21.0
268324	5.0
226604	13.0
140406	-97.0
67284	-34.0
182336	11.0
18872	40.0
94836	25.0
167454	18.0
30870	43.0
17430	-1.0
29890	-45.0
96642	43.0
258006	-43.0
273028	-21.0
260456	-52.0
196224	107.0
150724	-64.0
153188	-25.0
171514	6.0
215964	-65.0
41258	67.0
43204	31.0
96600	62.0
41272	14.0
187852	-28.0
208810	-24.0
195608	89.0
283598	76.0
150052	-23.0
285992	94.0
69776	4.0
131572	-17.0
234248	2.0
70210	-9.0
207676	67.0
171934	29.0
202188	30.0
214172	7.0
120344	43.0
262682	31.0
126896	30.0
247380	-3.0
65590	-3.0
85638	20.0
276164	50.0
274330	-29.0
226814	-27.0
42924	17.0
28448	-31.0
18690	62.0
95676	-39.0
209062	-51.0
299264	-17.0
279272	14.0
217910	32.0
266	24.0
209944	6.0
77378	41.0
207354	69.0
2618	-17.0
244412	37.0
159824	67.0
260680	9.0
128464	-16.0
239316	-2.0
64722	-2.0
279482	-17.0
136528	16.0
207060	-34.0
68236	32.0
50064	25.0
78666	17.0
149940	-65.0
195020	-31.0
247464	-58.0
11172	97.0
249578	8.0
169960	23.0
2744	41.0
236320	11.0
142422	22.0
223888	-8.0
29876	66.0
254002	-14.0
13160	108.0
240044	-7.0
9618	31.0
236026	-20.0
128646	-12.0
173348	-29.0
239596	17.0
39984	32.0
293132	65.0
187152	52.0
192108	-115.0
296772	-95.0
114506	-137.0
141078	-40.0
180586	-47.0
241878	-32.0
107016	-29.0
210532	-12.0
289184	15.0
129934	4.0
200382	53.0
141862	-71.0
242592	-3.0
58086	7.0
30058	17.0
48426	-34.0
109144	18.0
233828	-6.0
34202	-5.0
243824	28.0
38836	3.0
268576	-31.0
140826	3.0
100772	28.0
76062	-51.0
11956	29.0
247940	36.0
146888	60.0
67480	-100.0
99064	-7.0
160034	-17.0
123760	-28.0
102228	23.0
164836	-3.0
70378	52.0
178626	-23.0
109018	67.0
36512	-52.0
43456	-15.0
194208	-6.0
261744	-57.0
297598	34.0
182448	35.0
84014	35.0
211806	-23.0
221536	15.0
3304	14.0
406	-37.0
131362	-60.0
153762	32.0
156366	4.0
201614	-45.0
78190	-11.0
169848	-20.0
57106	14.0
27076	-60.0
